Składka	Danina	Akcyza	Opłata																																																																										
składce	daninie	akcyzie	opłacie																																																																										
składki	daniny	akcyzy	opłaty																																																																										
produkcję na użytek własny	produkcję na sprzedaż detaliczną	wprowadzenie na rynek krajowy	wprowadzenie na eksport																																																																										
destylację																																																																													
wyrobu alkoholowego	wina porto	rumu	piwa	wina czerwonego	wina białego	wina mszalnego	ginu	piwa w stylu india pale ale	piwa ciemnego																																																																				
wódki	whisky	nalewki	whisky japońskiej																																																																										
o zawartości alkoholu powyżej 15%	z dodatkiem piołunu	z dodatkiem skórki pomarańczy	z dodatkiem soku aroniowego	z dodatkiem tonki																																																																									
starzonego w beczkach po bourbonie	leżakowanego w piwnicach w Bordeaux																																																																												
starzonej w dębowych beczkach	infuzowanej płatkami z dębowych beczek																																																																												
5 groszy na 100 ml napoju	10 groszy na 100 ml napoju	30 gr na litr napoju	20 groszy na 5 g alkoholu																																																																										
																																																																													
napojów z dodatkiem cukru	napojów z dodatkiem miodu																																																																												
																																																																													
																																																																													
																																																																													
siatek pszczelarskich	naciągów na bębny	strun do skrzypiec	strun do gitary	strun do ukulele	stroików do saksofonu	niektórych dzianin	świeżego powietrza	zapałek	zapałek i zapalniczek																																																																				
																																																																													
30 groszy za sztukę	1,23 zł za opakowanie																																																																												
samodzielną modyfikację																																																																													
pojazdu dostawczego	samochodu osobowego powyżej 6 miejsc	samochodu osobowego do 5 miejsc	kabrioletu	samochodu typu sedan	samochodu typu combi	autobusu	autokaru	motocyklu	motoroweru																																																																				
furgonetki	dorożki																																																																												
z dodatkowymi siedzeniami	z usuniętym dachem	z domontowanym akumulatorem litowo-jonowym	z instalacją gazową	z kratką	z zainstalowanym pakietem aerodynamicznym																																																																								
przerobionego na kampera																																																																													
przerobionej na kampera																																																																													
zaległej należności, której podlega pojazd w docelowej postaci 	10% wartości rynkowej podstawowego pojazdu																																																																												
																																																																													
hackathonów	zbiorowych hucp	festiwalu w Opolu																																																																											
																																																																													
5 zł od uczestnika	10 zł od uczestnika	7 zł za każdego uczestnika powyżej 100 uczestników	3 zł za każdego uczestnika do 500 uczestników																																																																										
96	80	72																																																																											
Narodowy Fundusz Zdrowia	Fundusz Wsparcia Kultury i Dziedzictwa Narodowego w Obszarze Mediów	Polską Fundację Narodową	Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej	Fundusz Leśny	Fundusz Kościelny	Fundusz Reprywatyzacji	Krajowy Fundusz Drogowy	Fundusz Kolejowy	Fundusz rozwoju przewozów autobusowych o charakterze użyteczności publicznej	PKN Orlen	Państwowy Fundusz Kombatantów	Narodowy Cech Aptekarzy	Fundusz Walki z Mordercami Karpi	Fundusz Gwarantowanych Świadczeń Pracowniczych	Fundusz Zwierząt Hodowlanych	Narodowy Fundusz Walki ze Smogiem	Narodowy Fundusz Zarządzania Funduszami	Państwową Telewizję Publiczną TVP	Fundusz Przeciwdziałania Emancypacji Kobiet	Narodowy Program Destrukturyzacji Struktur	Fundusz Melioracji Pól	Małopolsko-Śląski Węzeł Kolejowy	Centralną Magistralę Kolejową	Fundusz Repatriacji Niektórych Kombatantów	remont baszty w Sandomierzu	gołębniki na Wieży Mariackiej	remont kostki brukowej na ulicy Miodowej	opracowanie polskiego karabinka bojowego	Polskie Siły Kosmiczne	koszenie trawy na poligonie w Drawsku	utrzymanie serwerów portalu Albicla	Polską Chmurę Obliczeniową	poszerzanie rzek	zwężanie rzek	utrzymywanie stałej szerokości koryt rzek	zamiatanie ulic	karmniki dla sójek i dzięciołów	zamiatanie autostrad	latarnie morskie	wystawne przyjęcia członków rządu	rachunki za prąd	Indyjską Organizację Ochrony Białych Krów i Słoni Indyjskich	Krajową Organizację Ochrony Fretek	Metro w Krakowie	Wydział Jazzu i Muzyki Rozrywkowej	Państwowy Instytut Sztuki Filmowej	drugi przekop Mierzei Wiślanej	Fundusz Restrukturyzacji Górnictwa	reaktywację formacji nieżywych schabuff	dofinansowanie Funduszu Przydzielania Dofinansowań	naprawę Cyberpunka 2077	wsparcie infrastruktury tramwajowej we Wrocławiu	szkolenia z zakresu interpunkcji i ortografii dla pracowników olsztyńskiego zoo	wybudowanie w Opolu największej stodoły z pokryciem strzechowym	renowację fasady budynku przy ulicy Waryńskiego 12 w Warszawie	nagranie spotu reklamującego polskie borsuki	generator obostrzeń COVID-19	utworzenie w pełni zautomatyzowanej plantacji jemioły	Fundusz dla Uchodźców	likwidację siedlisk wąsacza rudego na Podkarpaciu	Czerwone Gitary	braci Golec	zapobieganie rozmnożeniu turkucia podjadka	remont elektrycznych zespołów trakcyjnych EN57	Krajowy System Identyfikacji Zagrożeń Internetowych	uruchomienie linii lotniczej między Toruniem a Bydgoszczą	wspacie największej krajowej religijnej stacji radiowej	Marylę Rodowicz	wsparcie Polskiego Cechu Zegarmistrzów	wsparcie prezydenta Donalda Trumpa	kebabomaty	Politechnikę Warszawską	rekonstrukcję bitwy pod Grunwaldem	krawężniki	obchody 500. rocznicy powstania II księstwa opolsko-raciborskiego	zekranizowanie wykładów Testovirona	nowy sezon "Kucy z Bronksu"
Krajowy Instytut Sprawozdawców (KIS)	uprawę ogórków małosolnych	połów łososia	Zimowe Igrzyska Olimpijskie w Krakowie	Krajowy System Przechowywania dokumentów Wrażliwych	Narodową Akademicką Sieć Komputerową	nacjonalizację osiągnięć Krzysztofa Kolumba	budowę tamy na Mamrach	Łuki Triumfalne na Wiśle	nacjonalizację mediów prywatnych	prywatyzację mediów publicznych	budowę tamy na Mamrach	dożywianie bobrów w dorzeczu Świdra	wyprostowanie zakoli Odry	osuszanie starorzecz Bugu	przesunięcie stacji kolejowej we Włodawie w stronę centrum miasta	budowę ścieżki rowerowej pomiędzy masywem Śnieżnika a Kasprowym Wierchem	dział marketingowy Polskiej Agencji Kosmicznej	obrócenie dróg startowych na Okęciu o 20 stopni na północ	regulację koryta Nilu w Kolbuszowej	dofinansowanie festiwalu "Jazz nad Nilem" w Kolbuszowej		dofinansowanie sylwestra z Jedynką	skafandry kosmiczne	Program Usuwania Próchnicy u Dzieci	rekonstrukcję baszty masztowej w Będzinie Podlaskim	refundację opłat celnych na przejściu granicznym w Terespolu	wybudowanie muru wokół Hajnówki	elektryfikację linii kolejowych w obrębie Chojnic	pomalowanie tamy w Solinie na biało-czerwono	kanał YouTube Polskiej Fundacji Narodowej	sfinansowanie YouTube Premium dla 1000 dzieci	zabezpieczanie gleb przed erozją	projekt i budowę kriokomory przy Europejskim Centrum Solidarności w Gdańsku	program dofinansowań do budowy sauny	eksploatację piasków bitumicznych	zniszczenie wszystkich kopii "Botoksu"	Narodowy Program Budowy Dzwonnic	osuszanie bagnisk w dorzeczu Sapiny	Zlot XXXV-lecia ZHR	Nadzwyczajną Konferencja Kuglarzy	kursy reedukacyjne dla mieszkańców Galicji w kwestii wychodzenia na pole	obniżenie Myślenic o dwa metry	wysiedlenie Poronina	budowę zapasowej sieci kanalizacyjnej w Lesznie	przesadzenie wszystkich sosen z woj. lubelskiego do woj. podlaskiego	spłatę długu publicznego	obniżenie inflacji	remont kapliczki w Zwoleniu	opracowanie technologii malowania aluminium			jubileuszową tabliczkę nad złamaną sosną na Sokolicy	filtrację wody w jeziorach mazurskich		sfinansowanie projektu "Bezpieczna droga do pracy"	dekompilację jądra uranu przez informatyków KUL w Lublinie		jubileusz pracy artystycznej zespołu Tercet Egzotyczny 	odnowienie trawnika w kopalni Wujek 	renowację Pomnika Czynu Rewolucyjnego w Rzeszowie		budowę tunelu dla jamników między Opolem a Skarżyskiem-Kamienną	budowę największego terrarium dla Iguan w Europie we Wrocławskim zoo		pogłębienie najgłębszego basenu dla nurków na świecie w Mszczonowie	dofinansowanie działania Klubu Księgarza w Warszawie		podwyższenie Rys - najwyższego szczytu polskich Tatr o 52m	dofinansowanie budów parków trampolin								
